                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     26,                0.88278,                 1.0905,                 1.2248,                0.89499,                0.83162,                0.91515,                0.76825,                 0.6476,                0.57121,                 1.0261,              0.0069063,              0.0069063,              0.0069063
                     27,                 0.8864,                 1.0917,                 1.2303,                0.88652,                0.82872,                0.91108,                0.76387,                0.65634,                0.57982,                 1.0501,              0.0067825,              0.0067825,              0.0067825
                     28,                 0.8943,                  1.082,                 1.2258,                0.88828,                0.83592,                0.91372,                0.76968,                 0.6426,                0.57251,                 1.0256,              0.0066587,              0.0066587,              0.0066587
                     29,                0.88208,                 1.0614,                 1.2196,                0.89137,                 0.8417,                 0.9174,                0.77772,                0.62036,                0.57203,                 1.0146,               0.006535,               0.006535,               0.006535
                     30,                0.88942,                 1.0728,                 1.2314,                0.91348,                0.84281,                0.92291,                0.78577,                0.62708,                0.54735,                 1.0129,              0.0064112,              0.0064112,              0.0064112
                     31,                0.88711,                 1.0662,                 1.2193,                 0.8925,                 0.8691,                 0.9263,                0.78535,                0.63082,                0.52739,                 1.0146,              0.0062875,              0.0062875,              0.0062875
                     32,                0.87277,                 1.0491,                 1.2174,                0.89703,                0.86049,                0.93194,                 0.7885,                0.62106,                0.52514,                 1.0021,              0.0061637,              0.0061637,              0.0061637
                     33,                0.86386,                 1.0427,                 1.2186,                0.91124,                0.86717,                0.93586,                0.79317,                0.62456,                0.50927,                  1.007,                0.00604,                0.00604,                0.00604
                     34,                0.87365,                 1.0363,                  1.216,                0.90156,                0.86663,                0.93849,                0.79672,                0.61196,                0.50168,                0.99798,              0.0059163,              0.0059163,              0.0059163
                     35,                0.86018,                 1.0155,                 1.2106,                0.91041,                0.87379,                0.93734,                0.80192,                0.60742,                0.48398,                0.99645,              0.0057925,              0.0057925,              0.0057925
                     36,                0.87034,                 1.0113,                 1.2158,                0.93774,                0.86854,                0.94185,                0.80171,                0.61576,                0.48417,                0.99771,              0.0056688,              0.0056688,              0.0056688
                     37,                0.85781,                0.98844,                 1.2053,                 0.9234,                0.88015,                0.94156,                0.80475,                0.61719,                0.47939,                 1.0043,               0.005545,               0.005545,               0.005545
                     38,                0.86273,                0.97348,                 1.2064,                0.91312,                0.89648,                0.94517,                0.80626,                0.61052,                0.45911,                0.99555,              0.0054212,              0.0054212,              0.0054212
                     39,                0.85182,                0.98434,                 1.2039,                0.93286,                0.87769,                0.94611,                0.80945,                  0.601,                0.46633,                0.98478,              0.0052975,              0.0052975,              0.0052975
                     40,                0.86014,                0.98025,                 1.2049,                0.90465,                0.87362,                0.94186,                0.81145,                0.59945,                0.46524,                0.98474,              0.0051737,              0.0051737,              0.0051737
                     41,                0.84602,                0.94371,                 1.1925,                0.94914,                0.87604,                0.95275,                0.81563,                0.59841,                0.44967,                  0.987,                0.00505,                0.00505,                0.00505
                     42,                0.85395,                0.97981,                 1.1976,                0.94938,                0.87586,                 0.9496,                0.81712,                0.59422,                0.45176,                0.98444,              0.0049263,              0.0049263,              0.0049263
                     43,                0.83502,                0.92907,                 1.1878,                0.91391,                0.90059,                0.95159,                0.82161,                0.58918,                0.43892,                0.97684,              0.0048025,              0.0048025,              0.0048025
                     44,                0.83181,                0.94017,                 1.1849,                0.94175,                0.89698,                0.95459,                0.82552,                0.57798,                0.42676,                0.97065,              0.0046788,              0.0046788,              0.0046788
                     45,                0.82961,                0.91504,                 1.1859,                0.93233,                0.90116,                0.95461,                 0.8184,                0.59172,                0.43803,                0.98005,               0.004555,               0.004555,               0.004555
